animal,heifer,group,dam_age,c_interval,new_cd,dec
SIMUSAF000009118919,FALSE,258111_2009_S_FALSE,1431,NA,16,1
SIMUSAF000002523607,TRUE,000357_2011_S_TRUE,725,NA,15,1
SIMUSAF000008900209,FALSE,071720_2011_S_FALSE,2926,359,7,1
SIMUSAF000002731113,TRUE,182673_2015_S_TRUE,707,NA,7,1
SIMUSAF000003176058,FALSE,000100_2019_S_FALSE,1120,382,17,1
SIMUSAF000002261311,FALSE,001855_2011_S_FALSE,2755,699,97,4
SIMUSAF000009776432,FALSE,001490_2019_S_FALSE,2917,365,18,1
SIMUSAF000002514780,FALSE,003969_2012_S_FALSE,1114,385,20,1
SIMUSAF000002891011,FALSE,114824_2017_S_FALSE,1099,385,18,1
SIMUSAF000002221195,FALSE,195888_2010_F_FALSE,2495,NA,0,1
SIMUSAF000001892424,FALSE,041080_2009_S_FALSE,4739,NA,24,1
SIMUSAF000003020508,TRUE,085948_2017_S_TRUE,777,NA,41,2
SIMUSAF000002624097,FALSE,170588_2019_S_FALSE,3013,396,58,2
SIMUSAF000003075857,FALSE,066837_2020_S_FALSE,1867,386,61,3
SIMUSAF000002561977,FALSE,035315_2020_S_FALSE,3626,465,0,1
SIMUSAF000002600638,FALSE,054311_2020_S_FALSE,3280,375,10,1
SIMUSAF000002857201,FALSE,033084_2016_F_FALSE,1063,350,0,1
SIMUSAF000003088042,FALSE,007263_2019_S_FALSE,1153,385,46,2
SIMUSAF000002654613,FALSE,279293_2015_S_FALSE,1104,NA,59,2
SIMUSAF000003439275,TRUE,002003_2019_S_TRUE,753,NA,0,1
SIMUSAF000003065029,FALSE,186299_2019_S_FALSE,1533,400,39,2
SIMUSAF000002609051,FALSE,207114_2017_S_FALSE,2212,325,81,3
AANUSAF000015276875,FALSE,028619_2016_S_FALSE,3707,405,11,1
SIMUSAF000002661898,FALSE,183751_2016_S_FALSE,1489,372,35,2
SIMUSAF000002291682,FALSE,057726_2011_S_FALSE,2237,413,71,3
SIMUSAF000002909042,TRUE,295645_2015_F_TRUE,723,NA,1,1
SIMUSAF000002427590,TRUE,000079_2009_S_TRUE,704,NA,0,1
SIMUSAF000002322595,FALSE,034664_2010_S_FALSE,2205,336,83,3
SIMUSAF000002351028,FALSE,009157_2012_S_FALSE,2251,404,55,2
SIMUSAF000002415095,FALSE,074403_2010_S_FALSE,1108,362,5,1
SIMUSAF000002946068,FALSE,033887_2019_S_FALSE,1824,366,18,1
SIMUSAF000002630164,FALSE,283966_2014_F_FALSE,1097,365,10,1
SIMUSAF000002592902,FALSE,048671_2020_S_FALSE,3285,369,8,1
SIMAUSF0000MBBDH315,FALSE,252519_2016_S_FALSE,1421,NA,6,1
SIMUSAF000003112057,FALSE,003790_2019_F_FALSE,1472,339,28,1
SIMUSAF000002944654,FALSE,000110_2020_S_FALSE,2170,339,23,1
SIMUSAF000002621478,FALSE,273036_2019_S_FALSE,2939,368,10,1
SIMUSAF000002238382,FALSE,262693_2013_S_FALSE,3639,344,6,1
SIMUSAF000003197806,FALSE,272544_2019_S_FALSE,1121,341,7,1
SIMUSAF000002809206,FALSE,221245_2017_S_FALSE,1431,359,50,2
SIMUSAF000002999650,FALSE,207402_2019_S_FALSE,1453,682,41,2
SIMUSAF000002419067,FALSE,127414_2016_S_FALSE,3253,344,0,1
SIMUSAF000002487582,FALSE,046533_2013_S_FALSE,1455,342,8,1
SIMUSAF000002610272,FALSE,002945_2016_F_FALSE,2175,358,12,1
SIMUSAF000002219647,FALSE,151595_2009_S_FALSE,1970,NA,30,1
SIMUSAF000002399471,FALSE,059816_2015_S_FALSE,2869,364,11,1
AANUSAF000014560811,FALSE,105247_2010_F_FALSE,2555,333,10,1
SIMUSAF000002469209,FALSE,237231_2011_S_FALSE,1100,405,57,2
SIMUSAF000002189315,FALSE,245685_2013_S_FALSE,3718,450,21,1
SIMUSAF000009622566,FALSE,226966_2013_S_FALSE,3314,357,31,2
SIMUSAF000002358561,FALSE,183751_2009_S_FALSE,1161,NA,33,2
SIMUSAF000002778926,FALSE,001090_2014_S_FALSE,1455,361,31,2
SIMUSAF000002448950,FALSE,055426_2015_S_FALSE,2555,418,32,2
SIMUSAF000002777613,FALSE,000508_2018_S_FALSE,1821,340,12,1
SIMUSAF000002772917,FALSE,304208_2018_S_FALSE,1840,350,10,1
SIMUSAF000002542324,FALSE,195536_2019_S_FALSE,3347,390,67,3
SIMUSAF000002882611,TRUE,003790_2016_S_TRUE,719,NA,9,1
SIMUSAF000009700814,FALSE,000100_2018_S_FALSE,2922,353,36,2
SIMUSAF000002812232,FALSE,137549_2019_S_FALSE,2166,359,18,1
SIMUSAF000009820201,FALSE,264862_2013_F_FALSE,1524,390,11,1
SIMUSAF000002559090,FALSE,004220_2013_S_FALSE,1160,398,59,2
SIMUSAF000002366285,FALSE,003790_2012_S_FALSE,2190,381,25,1
SIMUSAF000002666986,FALSE,066837_2020_S_FALSE,2891,339,0,1
SIMUSAF000003309498,FALSE,328635_2018_S_FALSE,1429,NA,8,1
SIMUSAF000003026554,FALSE,003790_2018_F_FALSE,1396,672,84,3
SIMUSAF000002569820,FALSE,093652_2014_S_FALSE,1475,362,24,1
SIMUSAF000003051802,FALSE,261792_2018_S_FALSE,2575,325,76,3
SIMUSAF000002732962,TRUE,006207_2015_S_TRUE,738,NA,60,2
SIMUSAF000002459945,FALSE,168882_2017_S_FALSE,3279,367,17,1
SIMUSAF000002921721,TRUE,164211_2016_S_TRUE,705,NA,38,2
SIMUSAF000002908954,FALSE,295645_2018_F_FALSE,1802,327,20,1
SIMUSAF000009016820,FALSE,240622_2012_S_FALSE,3287,345,5,1
SIMUSAF000002606394,TRUE,194156_2013_S_TRUE,731,NA,0,1
SIMUSAF000002239292,FALSE,056980_2017_S_FALSE,4675,324,2,1
SIMUSAF000002426313,FALSE,029535_2014_S_FALSE,2539,361,27,1
SIMUSAF000002547499,FALSE,234263_2013_S_FALSE,1095,334,3,1
SIMUSAF000002574388,FALSE,168789_2013_F_FALSE,1117,450,92,4
AANUSAF000015939253,FALSE,241759_2013_S_FALSE,2187,NA,0,1
SIMUSAF000003020886,FALSE,048839_2020_S_FALSE,1825,367,12,1
SIMUSAF000009700823,FALSE,000100_2011_S_FALSE,2615,411,77,3
SIMUSAF000003347639,FALSE,266410_2017_S_FALSE,3339,NA,23,1
SIMUSAF000002474027,FALSE,004485_2012_S_FALSE,1487,341,38,2
SIMUSAF000002545694,FALSE,111505_2017_F_FALSE,2788,307,3,1
SIMUSAF000002496279,FALSE,238869_2016_S_FALSE,2574,355,0,1
SIMUSAF000002174508,FALSE,233327_2009_F_FALSE,2556,NA,62,3
SIMUSAF000002434798,FALSE,003773_2013_S_FALSE,2177,348,17,1
SIMUSAF000003197851,TRUE,272544_2018_S_TRUE,712,NA,15,1
SIMUSAF000002656390,FALSE,268427_2018_S_FALSE,2192,370,9,1
SIMUSAF000002646297,FALSE,239235_2014_S_FALSE,4045,388,41,2
SIMUSAF000002450826,FALSE,041248_2018_S_FALSE,3692,328,13,1
SIMUSAF000003116952,TRUE,000357_2018_S_TRUE,698,NA,32,2
SIMUSAF000002711930,FALSE,087145_2015_S_FALSE,2604,383,48,2
SIMUSAF000002701848,FALSE,294149_2016_S_FALSE,1845,394,46,2
SIMUSAF000002711465,FALSE,003790_2016_S_FALSE,1477,379,43,2
SIMUSAF000002835464,FALSE,164211_2017_S_FALSE,1431,348,26,1
AANUSAF000017280879,FALSE,230478_2019_S_FALSE,2564,NA,49,2
SIMUSAF000002898976,TRUE,239235_2016_S_TRUE,824,NA,100,4
SIMUSAF000003181123,FALSE,325793_2019_S_FALSE,2161,344,10,1
SIMUSAF000003362237,FALSE,335538_2020_S_FALSE,3363,328,21,1
SIMUSAF000003078309,FALSE,304046_2018_S_FALSE,1514,NA,17,1
SIMUSAF000002462464,FALSE,053113_2011_S_FALSE,1074,NA,4,1
SIMUSAF000009796286,TRUE,030448_2012_S_TRUE,738,NA,23,1
SIMUSAF000009087081,FALSE,240622_2011_S_FALSE,1880,391,80,3
SIMUSAF000003361688,TRUE,042628_2019_S_TRUE,737,NA,49,2
SIMUSAF000002867847,FALSE,260870_2019_S_FALSE,1829,354,1,1
SIMUSAF000003177938,TRUE,049139_2018_S_TRUE,803,NA,70,3
SIMUSAF000002528590,FALSE,008605_2016_S_FALSE,2549,359,24,1
SIMUSAF000002515918,FALSE,000292_2017_S_FALSE,2967,386,32,2
SIMUSAF000003237346,TRUE,003619_2018_F_TRUE,751,NA,26,1
SIMUSAF000003011390,TRUE,001490_2017_S_TRUE,679,NA,5,1
SIMUSAF000002412637,FALSE,144791_2012_S_FALSE,1908,406,84,3
SIMUSAF000008988163,FALSE,009560_2009_S_FALSE,3464,NA,57,2
SIMUSAF000003325874,FALSE,230280_2017_S_FALSE,2540,NA,14,1
SIMUSAF000009115294,FALSE,223617_2012_S_FALSE,1845,386,33,2
SIMUSAF000002359717,FALSE,167491_2011_S_FALSE,1846,358,16,1
SIMUSAF000002599157,TRUE,049731_2013_S_TRUE,716,NA,0,1
SIMUSAF000002545590,TRUE,237231_2012_S_TRUE,741,NA,37,2
SIMUSAF000002731192,FALSE,097963_2016_S_FALSE,1099,371,25,1
SIMUSAF000002438371,TRUE,237206_2009_F_TRUE,730,NA,37,2
SIMUSAF000009668450,FALSE,053188_2011_S_FALSE,1459,361,7,1
SIMUSAF000002846281,FALSE,220135_2020_S_FALSE,2177,366,27,1
SIMUSAF000002432346,TRUE,064620_2009_F_TRUE,704,NA,3,1
SIMUSAF000002410591,FALSE,144252_2010_S_FALSE,1104,382,40,2
SIMUSAF000002826000,FALSE,000110_2020_S_FALSE,2574,1417,35,2
SIMUSAF000002957173,FALSE,193220_2020_S_FALSE,1820,355,14,1
SIMUSAF000009606157,FALSE,171834_2012_S_FALSE,2294,435,100,4
SIMUSAF000002463964,FALSE,134485_2016_S_FALSE,2946,371,53,2
SIMUSAF000002653716,TRUE,059044_2014_S_TRUE,736,NA,10,1
SIMUSAF000002401518,TRUE,114550_2009_S_TRUE,725,NA,18,1
SIMUSAF000002711507,FALSE,003790_2017_S_FALSE,1792,356,26,1
SIMUSAF000002765219,FALSE,304208_2018_S_FALSE,1841,340,9,1
SIMUSAF000002633133,FALSE,107867_2015_F_FALSE,1507,366,9,1
SIMUSAF000002434493,FALSE,003847_2010_S_FALSE,1106,361,26,1
SIMUSAF000003204924,TRUE,067532_2018_S_TRUE,701,NA,7,1
SIMUSAF000002163508,FALSE,000303_2010_S_FALSE,2936,382,47,2
SIMUSAF000002449864,FALSE,001982_2014_S_FALSE,2214,386,21,1
SIMUSAF000009822116,FALSE,264862_2014_S_FALSE,1072,386,3,1
SIMUSAF000002646238,FALSE,243804_2015_S_FALSE,1612,322,137,4
SIMUSAF000002287118,FALSE,028998_2012_S_FALSE,2594,372,58,2
SIMUSAF000001929705,FALSE,207036_2009_S_FALSE,4394,NA,0,1
SIMUSAF000002454692,FALSE,199235_2013_S_FALSE,1660,422,80,3
SIMUSAF000002634881,FALSE,245425_2017_S_FALSE,1879,419,56,2
SIMUSAF000009740002,FALSE,028380_2011_S_FALSE,1077,NA,0,1
SIMUSAF000002071494,FALSE,001597_2009_S_FALSE,3311,NA,34,2
SIMUSAF000002275745,FALSE,225748_2012_F_FALSE,2922,380,5,1
SIMUSAF000003002472,FALSE,245801_2018_S_FALSE,1077,372,0,1
SIMUSAF000003114175,FALSE,309379_2019_S_FALSE,1138,454,50,2
SIMUSAF000002623361,FALSE,061051_2017_S_FALSE,2256,410,76,3
SIMUSAF000002125702,FALSE,185273_2010_S_FALSE,3247,373,6,1
SIMUSAF000009654784,FALSE,193450_2014_S_FALSE,1859,387,28,1
SIMUSAF000002533389,FALSE,058836_2015_F_FALSE,2257,386,77,3
SIMUSAF000002412536,FALSE,145887_2013_S_FALSE,2192,381,13,1
SIMUSAF000003194395,FALSE,000072_2016_S_FALSE,1105,NA,15,1
SIMUSAF000002838376,FALSE,207402_2017_F_FALSE,1413,338,94,4
SIMUSAF000003089392,FALSE,250074_2019_F_FALSE,1842,367,42,2
SIMUSAF000002954580,FALSE,000357_2020_S_FALSE,1829,363,20,1
SIMUSAF000002925110,TRUE,071213_2016_S_TRUE,729,NA,1,1
SIMUSAF000002853317,FALSE,244424_2019_F_FALSE,2205,382,26,1
SIMUSAF000002720167,TRUE,003790_2013_F_TRUE,698,NA,9,1
SIMUSAF000009697029,FALSE,249078_2016_S_FALSE,2213,389,51,2
SIMUSAF000002847928,FALSE,087145_2017_S_FALSE,1486,346,9,1
SIMUSAF000002616304,FALSE,266397_2013_S_FALSE,1108,349,43,2
SIMUSAF000003144242,FALSE,057766_2019_S_FALSE,1110,394,27,1
SIMUSAF000002374770,FALSE,165617_2015_S_FALSE,3304,362,4,1
SIMUSAF000002435935,FALSE,005242_2011_S_FALSE,1471,387,38,2
SIMUSAF000002638005,FALSE,253808_2018_F_FALSE,2694,337,6,1
SIMUSAF000009625019,FALSE,249078_2013_S_FALSE,2202,371,16,1
SIMUSAF000009589142,TRUE,213199_2010_S_TRUE,753,NA,30,1
SIMUSAF000003012608,TRUE,057766_2017_S_TRUE,720,NA,24,1
SIMUSAF000002497847,FALSE,008833_2012_S_FALSE,1076,349,16,1
SIMUSAF000002701521,FALSE,000292_2019_S_FALSE,2555,366,31,2
AANUSAF000017215371,FALSE,274375_2016_F_FALSE,1794,NA,2,1
SIMUSAF000002600742,TRUE,243804_2013_F_TRUE,933,NA,19,1
SIMUSAF000002347895,FALSE,235266_2016_S_FALSE,3538,390,20,1
SIMUSAF000002439693,FALSE,237757_2014_S_FALSE,2331,443,20,1
SIMUSAF000002792531,TRUE,042628_2015_S_TRUE,710,NA,0,1
SIMUSAF000002197265,FALSE,004545_2009_S_FALSE,2559,NA,15,1
SIMUSAF000002644404,FALSE,243871_2019_S_FALSE,2572,371,22,1
SIMUSAF000002360035,FALSE,042628_2012_S_FALSE,2250,322,39,2
SIMUSAF000003086357,FALSE,232503_2019_S_FALSE,1504,415,80,3
SIMUSAF000002669053,FALSE,288955_2015_S_FALSE,3278,350,0,1
SIMUSAF000002323572,FALSE,114824_2009_S_FALSE,1477,NA,40,2
SIMUSAF000002632716,FALSE,004545_2016_S_FALSE,1779,339,19,1
SIMUSAF000002346493,FALSE,049139_2011_S_FALSE,1879,331,46,2
SIMUSAF000002822683,TRUE,121765_2014_S_TRUE,760,NA,35,2
SIMUSAF000002163734,FALSE,175712_2012_S_FALSE,3643,361,10,1
SIMUSAF000002829771,FALSE,033995_2015_S_FALSE,2232,NA,12,1
SIMUSAF000002712247,FALSE,087145_2016_S_FALSE,2249,361,29,1
SIMUSAF000002361068,FALSE,127414_2011_S_FALSE,1814,431,19,1
SIMUSAF000009701275,FALSE,000100_2015_S_FALSE,3313,363,34,2
SIMUSAF000009622851,FALSE,000100_2010_S_FALSE,2952,368,14,1
SIMUSAF000002286006,FALSE,029705_2011_S_FALSE,2223,367,14,1
SIMUSAF000003571596,FALSE,307309_2019_S_FALSE,1461,NA,91,4
SIMUSAF000002633221,FALSE,029598_2019_F_FALSE,2952,336,25,1
SIMUSAF000002551511,FALSE,218671_2016_S_FALSE,2186,362,8,1
SIMUSAF000002883367,TRUE,165201_2016_S_TRUE,729,NA,0,1
SIMUSAF000002463369,FALSE,151506_2013_S_FALSE,1834,338,15,1
SIMUSAF000002920430,TRUE,005152_2015_F_TRUE,719,NA,5,1
SIMUSAF000002506490,FALSE,049139_2015_S_FALSE,2245,400,77,3
SIMUSAF000002756210,TRUE,096793_2015_S_TRUE,755,NA,0,1
SIMUSAF000002646911,FALSE,005623_2020_S_FALSE,2870,360,15,1
SIMUSAF000002611502,TRUE,249185_2013_S_TRUE,687,NA,0,1
SIMUSAF000002712289,FALSE,087145_2016_S_FALSE,2251,401,69,3
SIMUSAF000002378741,FALSE,156722_2016_F_FALSE,3569,926,12,1
SIMUSAF000002312880,FALSE,048605_2009_S_FALSE,1838,NA,33,2
SIMUSAF000002528142,FALSE,210360_2019_S_FALSE,3505,1160,60,2
SIMUSAF000002985444,FALSE,007866_2019_F_FALSE,1857,379,21,1
SIMUSAF000002222147,FALSE,067563_2016_F_FALSE,5055,348,13,1
SIMUSAF000002463605,FALSE,034670_2011_S_FALSE,1041,317,26,1
SIMUSAF000002759824,FALSE,156834_2018_S_FALSE,2203,321,22,1
SIMUSAF000002610680,FALSE,072962_2014_S_FALSE,1115,394,41,2
SIMUSAF000002542629,FALSE,243597_2016_F_FALSE,2377,362,6,1
SIMUSAF000002492030,FALSE,207114_2017_S_FALSE,2905,720,92,4
SIMUSAF000002263769,FALSE,202710_2009_S_FALSE,2214,NA,50,2
SIMUSAF000002421298,FALSE,271880_2010_S_FALSE,1516,464,112,4
SIMUSAF000003267663,TRUE,156877_2019_S_TRUE,709,NA,19,1
SIMUSAF000002532995,FALSE,161346_2015_F_FALSE,2186,366,0,1
SIMUSAF000002255247,FALSE,085948_2010_S_FALSE,2911,365,18,1
SIMUSAF000002602857,FALSE,056821_2015_S_FALSE,1466,375,27,1
SIMUSAF000002250477,FALSE,041228_2012_F_FALSE,3063,357,0,1
SIMUSAF000009057084,FALSE,076572_2009_S_FALSE,2252,NA,64,3
SIMUSAF000002563434,FALSE,057152_2016_S_FALSE,2181,364,16,1
SIMUSAF000002485970,TRUE,105247_2010_F_TRUE,739,NA,23,1
SIMUSAF000002761563,FALSE,130771_2017_F_FALSE,1839,748,34,2
SIMUSAF000002803466,FALSE,057152_2016_S_FALSE,1032,377,8,1
SIMUSAF000002927709,FALSE,105306_2019_S_FALSE,2180,369,17,1
SIMUSAF000003190876,FALSE,232503_2019_S_FALSE,1120,354,7,1
SIMUSAF000009035620,FALSE,235805_2011_S_FALSE,2231,396,42,2
SIMUSAF000002789599,FALSE,057067_2019_S_FALSE,2131,375,20,1
SIMUSAF000002661615,FALSE,105306_2015_S_FALSE,1792,354,11,1
SIMUSAF000002736313,FALSE,130385_2016_F_FALSE,2129,327,61,3
SIMUSAF000002626305,TRUE,057067_2012_S_TRUE,634,NA,11,1
SIMUSAF000002510777,FALSE,086895_2018_S_FALSE,3338,395,96,4
SIMUSAF000002691803,TRUE,235805_2014_S_TRUE,731,NA,7,1
SIMUSAF000002704412,FALSE,165201_2020_S_FALSE,2925,317,0,1
SIMUSAF000002307933,FALSE,218891_2010_F_FALSE,1903,391,72,3
SIMUSAF000002466344,TRUE,165201_2010_S_TRUE,697,NA,7,1
SIMUSAF000002282935,FALSE,220135_2014_S_FALSE,4035,361,29,1
SIMUSAF000003458361,FALSE,174951_2020_F_FALSE,1090,365,0,1
SIMUSAF000003345528,TRUE,003161_2018_F_TRUE,1049,NA,92,4
SIMUSAF000002005806,FALSE,006438_2009_S_FALSE,4040,NA,20,1
SIMUSAF000002404609,FALSE,070192_2013_F_FALSE,2525,375,46,2
AANUSAF000016991377,FALSE,276789_2016_F_FALSE,2008,593,10,1
SIMUSAF000002489940,TRUE,003161_2010_F_TRUE,833,NA,97,4
SIMUSAF000003376576,FALSE,312158_2020_S_FALSE,1812,372,8,1
SIMUSAF000002308147,FALSE,089330_2013_S_FALSE,2886,392,11,1
SIMUSAF000003204441,TRUE,000072_2017_S_TRUE,734,NA,20,1
SIMUSAF000009677141,FALSE,009828_2011_S_FALSE,1046,357,0,1
SIMUSAF000002631642,FALSE,002360_2016_S_FALSE,1799,369,42,2
SIMUSAF000002501315,TRUE,009191_2011_S_TRUE,707,NA,0,1
SIMUSAF000002350317,FALSE,113725_2012_F_FALSE,2619,625,83,3
SIMUSAF000002586426,FALSE,092820_2020_S_FALSE,3421,372,15,1
SIMUSAF000009802891,FALSE,272544_2017_S_FALSE,2922,359,3,1
SIMUSAF000002635344,FALSE,236580_2015_F_FALSE,1459,357,3,1
SIMUSAF000002275684,FALSE,006438_2010_S_FALSE,2209,370,35,2
SIMUSAF000002454773,FALSE,011393_2011_S_FALSE,1095,378,0,1
SIMUSAF000003338013,FALSE,328635_2020_F_FALSE,4025,353,20,1
SIMUSAF000002712952,FALSE,087145_2012_S_FALSE,1142,NA,21,1
SIMUSAF000003012013,FALSE,001982_2020_S_FALSE,1850,376,54,2
SIMUSAF000003035567,FALSE,000100_2018_S_FALSE,1110,412,25,1
SIMUSAF000002626338,FALSE,288656_2013_S_FALSE,1104,NA,2,1
SIMUSAF000002549401,FALSE,002773_2016_S_FALSE,2203,377,22,1
SIMUSAF000002490914,FALSE,176975_2017_F_FALSE,3307,375,42,2
SIMUSAF000002284766,FALSE,036712_2011_S_FALSE,2200,352,33,2
SIMUSAF000003360435,TRUE,068832_2019_S_TRUE,722,NA,3,1
SIMUSAF000009841741,TRUE,001490_2014_S_TRUE,685,NA,6,1
SIMUSAF000009116720,FALSE,255853_2013_S_FALSE,4019,367,25,1
SIMUSAF000002246491,FALSE,220135_2011_S_FALSE,2617,378,39,2
SIMUSAF000009057199,FALSE,057152_2010_S_FALSE,4101,369,8,1
SIMUSAF000002961328,FALSE,297714_2020_S_FALSE,1901,611,99,4
SIMUSAF000002736681,FALSE,037971_2015_F_FALSE,1103,370,13,1
SIMUSAF000003383500,TRUE,296861_2019_F_TRUE,691,NA,16,1
SIMUSAF000002654466,FALSE,085948_2016_S_FALSE,1433,358,4,1
SIMUSAF000002782640,FALSE,218008_2017_S_FALSE,1491,377,37,2
SIMUSAF000002758468,FALSE,186156_2018_S_FALSE,1680,358,0,1
AANUSAF000015000603,FALSE,042628_2012_S_FALSE,2705,345,0,1
SIMUSAF000002319203,FALSE,105247_2010_F_FALSE,1823,361,5,1
SIMUSAF000002822561,FALSE,245306_2015_S_FALSE,1827,389,54,2
SIMUSAF000003157384,FALSE,279767_2020_S_FALSE,2193,364,9,1
SIMUSAF000002412907,FALSE,089975_2011_S_FALSE,1521,349,65,3
SIMUSAF000002270756,FALSE,097963_2011_S_FALSE,2584,742,52,2
SIMUSAF000002501422,FALSE,001485_2013_S_FALSE,1416,354,49,2
SIMUSAF000002274448,FALSE,000079_2009_S_FALSE,1877,NA,32,2
SIMUSAF000002336950,FALSE,053868_2017_S_FALSE,4058,397,95,4
SIMUSAF000002545578,FALSE,059044_2013_S_FALSE,1079,368,22,1
AANUSAF000015887306,FALSE,253808_2012_F_FALSE,1892,NA,52,2
SIMUSAF000002505430,FALSE,000110_2011_S_FALSE,2235,400,44,2
SIMUSAF000002416736,FALSE,223253_2010_S_FALSE,1064,NA,0,1
SIMUSAF000009087075,FALSE,240622_2011_S_FALSE,1820,366,32,2
SIMUSAF000003191298,FALSE,111505_2019_F_FALSE,1227,313,0,1
SIMUSAF000009837667,FALSE,000100_2018_S_FALSE,2231,411,53,2
SIMUSAF000002939992,FALSE,218120_2017_S_FALSE,1216,NA,118,4
SIMUSAF000002341367,FALSE,174170_2009_S_FALSE,1472,NA,22,1
SIMUSAF000003448872,TRUE,002467_2018_S_TRUE,643,NA,38,2
SIMUSAF000002154690,FALSE,168882_2011_S_FALSE,4045,403,46,2
SIMUSAF000002190001,FALSE,000357_2009_S_FALSE,2565,NA,32,2
SIMUSAF000002266497,FALSE,001799_2013_S_FALSE,3703,343,27,1
SIMUSAF000002218776,FALSE,001982_2009_S_FALSE,2375,NA,40,2
SIMUSAF000002869822,TRUE,086895_2016_S_TRUE,776,NA,16,1
SIMUSAF000002506612,TRUE,081946_2010_S_TRUE,701,NA,4,1
SIMUSAF000002349170,FALSE,002773_2009_S_FALSE,1098,NA,0,1
SIMUSAF000002496829,FALSE,008973_2017_S_FALSE,2923,346,29,1
SIMUSAF000003142194,TRUE,022454_2018_S_TRUE,693,NA,0,1
SIMUSAF000009606308,FALSE,237206_2009_S_FALSE,1503,NA,19,1
SIMUSAF000003319717,FALSE,056821_2020_S_FALSE,1105,402,9,1
SIMUSAF000009714387,FALSE,255771_2019_S_FALSE,3299,388,30,1
SIMUSAF000008980628,FALSE,000110_2013_S_FALSE,4094,368,72,3
SIMUSAF000003309465,FALSE,328635_2018_S_FALSE,1455,NA,34,2
SIMUSAF000002481665,FALSE,059816_2014_S_FALSE,1848,366,21,1
SIMUSAF000002309160,FALSE,003363_2012_S_FALSE,2557,378,23,1
SIMUSAF000003008670,FALSE,084263_2020_S_FALSE,1797,365,2,1
SIMUSAF000003344733,TRUE,028998_2019_S_TRUE,702,NA,7,1
SIMUSAF000002764147,FALSE,010506_2016_F_FALSE,1503,400,54,2
SIMUSAF000003017682,TRUE,235479_2017_S_TRUE,721,NA,20,1
SIMUSAF000002392387,FALSE,059816_2010_S_FALSE,1138,417,66,3
SIMUSAF000003157131,TRUE,210344_2017_F_TRUE,760,NA,0,1
SIMUSAF000009021267,FALSE,249078_2014_S_FALSE,3329,392,51,2
SIMUSAF000003702077,FALSE,257438_2019_S_FALSE,2902,NA,17,1
SIMUSAF000002708566,FALSE,004859_2018_S_FALSE,2221,386,39,2
SIMUSAF000009764672,FALSE,000100_2013_S_FALSE,1436,754,28,1
SIMUSAF000002398639,FALSE,181215_2018_S_FALSE,4046,395,23,1
SIMUSAF000002723077,FALSE,007263_2019_F_FALSE,2646,759,106,4
SIMUSAF000003358599,FALSE,000951_2019_S_FALSE,3670,363,22,1
SIMUSAF000002387751,TRUE,186036_2009_S_TRUE,717,NA,0,1
SIMUSAF000002390765,FALSE,181448_2013_S_FALSE,2158,321,0,1
SIMUSAF000002584280,FALSE,047707_2015_S_FALSE,1518,352,0,1
SIMUSAF000002264588,FALSE,018335_2013_S_FALSE,3283,340,4,1
AANUSAF000015076193,FALSE,034240_2016_S_FALSE,4494,735,43,2
SIMUSAF000009776510,FALSE,001490_2014_S_FALSE,1077,372,12,1
SIMUSAF000002351289,FALSE,165734_2011_S_FALSE,1850,396,39,2
SIMUSAF000002304951,FALSE,237231_2011_S_FALSE,2228,358,50,2
SIMUSAF000002332593,FALSE,130385_2017_F_FALSE,4382,375,70,3
SIMUSAF000002243583,FALSE,090203_2010_S_FALSE,2186,365,17,1
SIMUSAF000002571469,FALSE,206853_2011_S_FALSE,1155,397,45,2
